,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
26,0.0148,0.725,0.0,5,0.426,9.12,0,0.0513,120.014,4,0.684
27,0.308,0.632,0.0,5,0.087,3.871,0,0.0954,92.035,4,0.567
28,0.321,0.716,0.0,0,0.367,8.419,0,0.0928,134.099,4,0.344
29,0.244,0.642,0.0,10,0.255,4.993,1,0.158,150.099,4,0.748
30,0.581,0.605,0.0,4,0.101,6.3,1,0.325,100.991,4,0.821
31,0.0255,0.726,0.0,1,0.315,6.282,1,0.297,122.04,4,0.498
32,0.243,0.745,8.82e-05,5,0.132,9.238,0,0.0504,124.995,4,0.671
33,0.00519,0.556,5.17e-06,4,0.0586,9.023,0,0.265,189.831,4,0.337
34,0.453,0.658,0.0,9,0.0985,10.633,0,0.281,72.018,4,0.572
35,0.811,0.514,4.65e-05,6,0.0772,8.781,1,0.0713,94.899,4,0.878
36,0.173,0.759,4.59e-06,1,0.186,7.15,1,0.397,183.982,4,0.179
37,0.46,0.83,0.0,11,0.338,6.777,0,0.0949,120.99,4,0.509
38,0.465,0.689,0.0,9,0.0928,6.731,0,0.438,129.967,4,0.669
39,0.562,0.691,0.0,0,0.108,10.095,0,0.0588,108.033,4,0.231
40,0.0223,0.848,0.0,8,0.127,5.168,1,0.236,159.997,4,0.408
41,0.363,0.598,0.0,9,0.102,9.26,0,0.125,85.997,4,0.653
42,0.0501,0.743,0.0,2,0.186,7.244,1,0.0941,120.006,4,0.348
43,0.172,0.429,0.000162,1,0.707,9.735,1,0.12,130.898,4,0.231
44,0.165,0.775,0.00756,2,0.0835,7.853,0,0.0516,99.993,4,0.335
45,0.0519,0.618,0.0,1,0.353,3.877,1,0.127,88.971,4,0.362
46,0.526,0.627,0.0,8,0.308,5.997,1,0.06,177.75,4,0.664
47,0.21,0.596,0.0,5,0.111,6.212,0,0.204,99.877,4,0.39
48,0.83,0.735,0.000485,6,0.118,6.9,1,0.0482,105.019,4,0.758
49,0.334,0.77,0.0,5,0.0794,5.922,1,0.315,84.925,4,0.554
0,0.00953,0.724,2.81e-06,2,0.0986,11.502,1,0.241,143.971,4,0.406
1,0.622,0.716,0.0,1,0.427,8.52,1,0.382,95.1,4,0.378
2,0.0858,0.759,0.00297,2,0.133,13.112,0,0.0796,144.973,4,0.383
3,0.584,0.774,0.0,6,0.117,14.176,0,0.332,100.044,4,0.277
4,0.0616,0.509,0.0,2,0.107,12.545,1,0.393,78.43,4,0.274
5,0.168,0.588,0.0,8,0.184,8.084,1,0.226,76.892,4,0.824
6,0.218,0.782,0.0,7,0.168,9.762,1,0.081,94.996,4,0.653
7,0.361,0.887,0.000147,1,0.084,9.819,1,0.207,130.029,4,0.947
8,0.108,0.815,0.0,6,0.0968,5.539,0,0.105,128.999,4,0.465
9,0.39,0.754,0.000433,7,0.105,8.515,0,0.0397,121.005,4,0.357
10,0.265,0.773,0.0,8,0.12,7.939,1,0.293,174.136,4,0.462
11,0.838,0.803,0.0,0,0.572,13.111,1,0.202,133.956,4,0.288
12,0.523,0.732,0.0,9,0.155,8.367,0,0.327,89.861,4,0.714
13,0.426,0.931,0.000856,0,0.0879,9.477,1,0.275,103.98,4,0.289
14,0.273,0.86,7.15e-06,1,0.114,8.592,0,0.411,130.05,4,0.694
15,0.359,0.764,0.0,6,0.125,7.431,0,0.0379,139.96,4,0.545
16,0.163,0.853,0.0,2,0.0849,8.885,1,0.147,127.039,4,0.29
