,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
39,0.171,https://api.spotify.com/v1/audio-analysis/4bJvlozKS25qOlNoiRNmct,0.909,206493,0.599,4bJvlozKS25qOlNoiRNmct,0.0,7,0.0827,-8.047,0,0.0468,134.004,4,https://api.spotify.com/v1/tracks/4bJvlozKS25qOlNoiRNmct,audio_features,spotify:track:4bJvlozKS25qOlNoiRNmct,0.914,Rooted (feat. Irie Love),Kimie'
40,0.107,https://api.spotify.com/v1/audio-analysis/2ZUjks7eu5jmj2qnWLm8qm,0.887,305987,0.528,2ZUjks7eu5jmj2qnWLm8qm,0.00158,7,0.0613,-7.59,1,0.0862,144.118,4,https://api.spotify.com/v1/tracks/2ZUjks7eu5jmj2qnWLm8qm,audio_features,spotify:track:2ZUjks7eu5jmj2qnWLm8qm,0.729,Necta (Butterfly),Sashamon
41,0.31,https://api.spotify.com/v1/audio-analysis/6bhBA7qV1oDRjYRWM3lX4l,0.928,238453,0.571,6bhBA7qV1oDRjYRWM3lX4l,0.00189,5,0.0599,-7.848,0,0.0479,137.219,4,https://api.spotify.com/v1/tracks/6bhBA7qV1oDRjYRWM3lX4l,audio_features,spotify:track:6bhBA7qV1oDRjYRWM3lX4l,0.943,Love Like This,Wild Belle
42,0.00176,https://api.spotify.com/v1/audio-analysis/44N1u5KzHauO6bTVDgpPCk,0.819,324360,0.517,44N1u5KzHauO6bTVDgpPCk,0.287,6,0.0572,-5.766,0,0.114,125.009,4,https://api.spotify.com/v1/tracks/44N1u5KzHauO6bTVDgpPCk,audio_features,spotify:track:44N1u5KzHauO6bTVDgpPCk,0.933,Hold On,Solid Vibes
43,0.0717,https://api.spotify.com/v1/audio-analysis/0WKFE4bdpZMMPpqw9hf1mZ,0.729,267720,0.874,0WKFE4bdpZMMPpqw9hf1mZ,0.0,7,0.825,-6.724,1,0.163,88.015,4,https://api.spotify.com/v1/tracks/0WKFE4bdpZMMPpqw9hf1mZ,audio_features,spotify:track:0WKFE4bdpZMMPpqw9hf1mZ,0.559,Rebel,Congo Natty
44,0.00398,https://api.spotify.com/v1/audio-analysis/4N02Pnlq5pwjEiivNdLLPS,0.752,223493,0.498,4N02Pnlq5pwjEiivNdLLPS,0.00871,9,0.306,-8.564,0,0.0333,114.976,4,https://api.spotify.com/v1/tracks/4N02Pnlq5pwjEiivNdLLPS,audio_features,spotify:track:4N02Pnlq5pwjEiivNdLLPS,0.652,Barfly,Drunk Souls
45,0.17,https://api.spotify.com/v1/audio-analysis/1YcLCyrP48vZkma6kfVHXo,0.492,255467,0.678,1YcLCyrP48vZkma6kfVHXo,1.27e-06,4,0.305,-4.201,0,0.0281,148.033,3,https://api.spotify.com/v1/tracks/1YcLCyrP48vZkma6kfVHXo,audio_features,spotify:track:1YcLCyrP48vZkma6kfVHXo,0.743,Rebel In Zion,Nyabinghia
46,0.056,https://api.spotify.com/v1/audio-analysis/4qRwOShSu1Gc5aXdtG5zrO,0.806,219907,0.687,4qRwOShSu1Gc5aXdtG5zrO,0.0,1,0.0632,-5.941,1,0.154,112.954,4,https://api.spotify.com/v1/tracks/4qRwOShSu1Gc5aXdtG5zrO,audio_features,spotify:track:4qRwOShSu1Gc5aXdtG5zrO,0.831,Fly Rasta,Ziggy Marley
47,0.0207,https://api.spotify.com/v1/audio-analysis/32wrcAmmrWqvf6nzBMrOK1,0.673,195813,0.738,32wrcAmmrWqvf6nzBMrOK1,0.00509,9,0.103,-6.221,0,0.0305,93.986,4,https://api.spotify.com/v1/tracks/32wrcAmmrWqvf6nzBMrOK1,audio_features,spotify:track:32wrcAmmrWqvf6nzBMrOK1,0.681,Top of the World,Slightly Stoopid
0,0.0326,https://api.spotify.com/v1/audio-analysis/010lm9CMigWgoQ9BL4mvRq,0.838,213674,0.688,010lm9CMigWgoQ9BL4mvRq,1.24e-05,1,0.219,-6.173,1,0.198,84.992,4,https://api.spotify.com/v1/tracks/010lm9CMigWgoQ9BL4mvRq,audio_features,spotify:track:010lm9CMigWgoQ9BL4mvRq,0.266,Today's a New Day,Common Kings
