,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
10,"{'danceability': 0.52, 'energy': 0.864, 'key': 8, 'loudness': -4.439, 'mode': 1, 'speechiness': 0.0487, 'acousticness': 0.00232, 'instrumentalness': 2.97e-06, 'liveness': 0.0782, 'valence': 0.24, 'tempo': 133.838, 'type': 'audio_features', 'id': '2qZrGnyuRqqVJNt6IicILv', 'uri': 'spotify:track:2qZrGnyuRqqVJNt6IicILv', 'track_href': 'https://api.spotify.com/v1/tracks/2qZrGnyuRqqVJNt6IicILv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qZrGnyuRqqVJNt6IicILv', 'duration_ms': 212560, 'time_signature': 4}",The Horrible Year,Reggie And The Full Effect,,,,,,,,,,,,,,,,,,
11,"{'danceability': 0.395, 'energy': 0.966, 'key': 3, 'loudness': -4.848, 'mode': 0, 'speechiness': 0.0746, 'acousticness': 8.3e-05, 'instrumentalness': 0.00186, 'liveness': 0.15, 'valence': 0.188, 'tempo': 90.012, 'type': 'audio_features', 'id': '7lTyBwKYjtjnQW01wErm6Q', 'uri': 'spotify:track:7lTyBwKYjtjnQW01wErm6Q', 'track_href': 'https://api.spotify.com/v1/tracks/7lTyBwKYjtjnQW01wErm6Q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lTyBwKYjtjnQW01wErm6Q', 'duration_ms': 261333, 'time_signature': 4}",Inside Out,A Scent Like Wolves,,,,,,,,,,,,,,,,,,
12,"{'danceability': 0.364, 'energy': 0.948, 'key': 1, 'loudness': -1.79, 'mode': 0, 'speechiness': 0.219, 'acousticness': 4.65e-05, 'instrumentalness': 0.389, 'liveness': 0.0896, 'valence': 0.283, 'tempo': 149.147, 'type': 'audio_features', 'id': '0z18nuwBppfJT0lwt5YATH', 'uri': 'spotify:track:0z18nuwBppfJT0lwt5YATH', 'track_href': 'https://api.spotify.com/v1/tracks/0z18nuwBppfJT0lwt5YATH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0z18nuwBppfJT0lwt5YATH', 'duration_ms': 148400, 'time_signature': 4}",Talk,Show Me the Body,,,,,,,,,,,,,,,,,,
13,"{'danceability': 0.206, 'energy': 0.991, 'key': 0, 'loudness': -4.325, 'mode': 0, 'speechiness': 0.0829, 'acousticness': 0.0012, 'instrumentalness': 0, 'liveness': 0.162, 'valence': 0.128, 'tempo': 98.174, 'type': 'audio_features', 'id': '3Sop32pPu8lCKgijaUWKUW', 'uri': 'spotify:track:3Sop32pPu8lCKgijaUWKUW', 'track_href': 'https://api.spotify.com/v1/tracks/3Sop32pPu8lCKgijaUWKUW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Sop32pPu8lCKgijaUWKUW', 'duration_ms': 127775, 'time_signature': 4}",A Vice's Grip,Withered Bones,,,,,,,,,,,,,,,,,,
14,"{'danceability': 0.269, 'energy': 0.96, 'key': 11, 'loudness': -4.694, 'mode': 0, 'speechiness': 0.0952, 'acousticness': 2.51e-05, 'instrumentalness': 0, 'liveness': 0.39, 'valence': 0.301, 'tempo': 100.656, 'type': 'audio_features', 'id': '1zXxdq0e4TS2pSVvwcVdZl', 'uri': 'spotify:track:1zXxdq0e4TS2pSVvwcVdZl', 'track_href': 'https://api.spotify.com/v1/tracks/1zXxdq0e4TS2pSVvwcVdZl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1zXxdq0e4TS2pSVvwcVdZl', 'duration_ms': 133680, 'time_signature': 4}",This Dumpster Is a Country,Total Massacre,,,,,,,,,,,,,,,,,,
15,"{'danceability': 0.379, 'energy': 0.935, 'key': 2, 'loudness': -3.546, 'mode': 1, 'speechiness': 0.0604, 'acousticness': 1.82e-05, 'instrumentalness': 0, 'liveness': 0.064, 'valence': 0.469, 'tempo': 179.902, 'type': 'audio_features', 'id': '1KSIcYQfxmOXOacCKyKzDf', 'uri': 'spotify:track:1KSIcYQfxmOXOacCKyKzDf', 'track_href': 'https://api.spotify.com/v1/tracks/1KSIcYQfxmOXOacCKyKzDf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1KSIcYQfxmOXOacCKyKzDf', 'duration_ms': 205373, 'time_signature': 4}",Double Cross,Senses Fail,,,,,,,,,,,,,,,,,,
16,"{'danceability': 0.369, 'energy': 0.99, 'key': 2, 'loudness': -3.216, 'mode': 1, 'speechiness': 0.0847, 'acousticness': 8.04e-05, 'instrumentalness': 0.0462, 'liveness': 0.347, 'valence': 0.0954, 'tempo': 100.131, 'type': 'audio_features', 'id': '5uJpSKo6cFDwnvncugsC61', 'uri': 'spotify:track:5uJpSKo6cFDwnvncugsC61', 'track_href': 'https://api.spotify.com/v1/tracks/5uJpSKo6cFDwnvncugsC61', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5uJpSKo6cFDwnvncugsC61', 'duration_ms': 158427, 'time_signature': 3}",closer,Glassjaw,,,,,,,,,,,,,,,,,,
17,"{'danceability': 0.468, 'energy': 0.988, 'key': 2, 'loudness': -3.03, 'mode': 1, 'speechiness': 0.14, 'acousticness': 0.000426, 'instrumentalness': 0.000135, 'liveness': 0.282, 'valence': 0.376, 'tempo': 139.907, 'type': 'audio_features', 'id': '2V2fhruAI9wV0ZSSQfCDHs', 'uri': 'spotify:track:2V2fhruAI9wV0ZSSQfCDHs', 'track_href': 'https://api.spotify.com/v1/tracks/2V2fhruAI9wV0ZSSQfCDHs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2V2fhruAI9wV0ZSSQfCDHs', 'duration_ms': 176786, 'time_signature': 4}",Stay,We Were Sharks,,,,,,,,,,,,,,,,,,
18,"{'danceability': 0.499, 'energy': 0.705, 'key': 11, 'loudness': -4.977, 'mode': 1, 'speechiness': 0.0311, 'acousticness': 0.122, 'instrumentalness': 2.01e-05, 'liveness': 0.323, 'valence': 0.654, 'tempo': 145.921, 'type': 'audio_features', 'id': '7MtvRwik3mC1095rmCBQau', 'uri': 'spotify:track:7MtvRwik3mC1095rmCBQau', 'track_href': 'https://api.spotify.com/v1/tracks/7MtvRwik3mC1095rmCBQau', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7MtvRwik3mC1095rmCBQau', 'duration_ms': 212699, 'time_signature': 4}",20 Years From Now,New Found Glory,,,,,,,,,,,,,,,,,,
19,"{'danceability': 0.345, 'energy': 0.947, 'key': 5, 'loudness': -2.577, 'mode': 0, 'speechiness': 0.0746, 'acousticness': 8.23e-06, 'instrumentalness': 0, 'liveness': 0.0403, 'valence': 0.327, 'tempo': 172.006, 'type': 'audio_features', 'id': '2i4e9jHU08IiSJfxacGtuQ', 'uri': 'spotify:track:2i4e9jHU08IiSJfxacGtuQ', 'track_href': 'https://api.spotify.com/v1/tracks/2i4e9jHU08IiSJfxacGtuQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2i4e9jHU08IiSJfxacGtuQ', 'duration_ms': 241473, 'time_signature': 4}",Landslide,Eat Your Heart Out,,,,,,,,,,,,,,,,,,
