,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
556,556,66,0.000381,https://api.spotify.com/v1/audio-analysis/2lxqOVJzuS0s1SgulAvkav,0.475,141009,0.914,2lxqOVJzuS0s1SgulAvkav,1.7800000000000002e-05,9,0.413,-3.823,1,0.079,105.006,4,https://api.spotify.com/v1/tracks/2lxqOVJzuS0s1SgulAvkav,audio_features,spotify:track:2lxqOVJzuS0s1SgulAvkav,0.387,Cave Song,Pretty Vicious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557,557,67,0.0251,https://api.spotify.com/v1/audio-analysis/2T2sYc1gWVAxmHBWUtRzq5,0.636,215693,0.965,2T2sYc1gWVAxmHBWUtRzq5,1.12e-06,2,0.146,-2.897,0,0.064,125.043,4,https://api.spotify.com/v1/tracks/2T2sYc1gWVAxmHBWUtRzq5,audio_features,spotify:track:2T2sYc1gWVAxmHBWUtRzq5,0.551,Be Your Shadow,The Wombats,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
558,558,68,0.000682,https://api.spotify.com/v1/audio-analysis/0rZoBDxaTiDAY69SID8alo,0.4270000000000001,211925,0.813,0rZoBDxaTiDAY69SID8alo,0.279,2,0.045,-6.166,0,0.0708,161.947,4,https://api.spotify.com/v1/tracks/0rZoBDxaTiDAY69SID8alo,audio_features,spotify:track:0rZoBDxaTiDAY69SID8alo,0.434,Mixed Signals,The Night Café,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,559,69,0.0419,https://api.spotify.com/v1/audio-analysis/5wggWdmcXun9EfbIi776h6,0.381,237229,0.623,5wggWdmcXun9EfbIi776h6,2.23e-05,6,0.104,-7.5939999999999985,1,0.0427,130.171,4,https://api.spotify.com/v1/tracks/5wggWdmcXun9EfbIi776h6,audio_features,spotify:track:5wggWdmcXun9EfbIi776h6,0.332,Restless,Louis Berry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,560,70,0.00274,https://api.spotify.com/v1/audio-analysis/7KJIL45j1D1aKhartXceUW,0.3670000000000001,184024,0.885,7KJIL45j1D1aKhartXceUW,1.05e-05,4,0.106,-5.2010000000000005,1,0.0808,168.731,4,https://api.spotify.com/v1/tracks/7KJIL45j1D1aKhartXceUW,audio_features,spotify:track:7KJIL45j1D1aKhartXceUW,0.593,Power Lines,Tigress,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,561,71,0.0897,https://api.spotify.com/v1/audio-analysis/65ZyD8JcEDubHxsfxOVb2K,0.518,197520,0.7290000000000001,65ZyD8JcEDubHxsfxOVb2K,0.463,4,0.117,-5.231,0,0.11,99.952,4,https://api.spotify.com/v1/tracks/65ZyD8JcEDubHxsfxOVb2K,audio_features,spotify:track:65ZyD8JcEDubHxsfxOVb2K,0.68,Low Lays the Devil,The Veils,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,562,72,6.2e-06,https://api.spotify.com/v1/audio-analysis/3kXKkMgikQywueAo3jZ1tv,0.31,217333,0.64,3kXKkMgikQywueAo3jZ1tv,0.000918,3,0.0727,-5.484,0,0.0361,98.073,4,https://api.spotify.com/v1/tracks/3kXKkMgikQywueAo3jZ1tv,audio_features,spotify:track:3kXKkMgikQywueAo3jZ1tv,0.507,Dreamers,Neon Waltz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,563,73,0.000653,https://api.spotify.com/v1/audio-analysis/2YYPV8pJtHyUMxOpSs3TjJ,0.642,422307,0.7240000000000001,2YYPV8pJtHyUMxOpSs3TjJ,0.00837,0,0.0755,-8.982000000000003,1,0.0516,94.027,4,https://api.spotify.com/v1/tracks/2YYPV8pJtHyUMxOpSs3TjJ,audio_features,spotify:track:2YYPV8pJtHyUMxOpSs3TjJ,0.5579999999999999,Beautiful Thing,The Stone Roses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,564,74,0.000284,https://api.spotify.com/v1/audio-analysis/3hTpoe9foSCDu6NS0vlHQS,0.491,198205,0.7659999999999999,3hTpoe9foSCDu6NS0vlHQS,0.263,6,0.299,-5.796,1,0.0571,94.945,4,https://api.spotify.com/v1/tracks/3hTpoe9foSCDu6NS0vlHQS,audio_features,spotify:track:3hTpoe9foSCDu6NS0vlHQS,0.913,11:11 - Radio Edit,Dinosaur Pile-Up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,565,75,0.000583,https://api.spotify.com/v1/audio-analysis/0cUKV2WDuin8WeREQ9hoGa,0.524,187485,0.967,0cUKV2WDuin8WeREQ9hoGa,0.0313,5,0.231,-3.117,1,0.0924,102.48,4,https://api.spotify.com/v1/tracks/0cUKV2WDuin8WeREQ9hoGa,audio_features,spotify:track:0cUKV2WDuin8WeREQ9hoGa,0.603,Headspace,Homebound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
