,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
12,12,12,0.348,https://api.spotify.com/v1/audio-analysis/5dJ0uTmnt3fmmfoSlQcovA,0.5479999999999999,254400,0.884,5dJ0uTmnt3fmmfoSlQcovA,0.927,0,0.135,-8.793,1,0.0485,99.941,4,https://api.spotify.com/v1/tracks/5dJ0uTmnt3fmmfoSlQcovA,audio_features,spotify:track:5dJ0uTmnt3fmmfoSlQcovA,0.29100000000000004,Tribes,Dreams West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,13,13,0.256,https://api.spotify.com/v1/audio-analysis/1BMCzEHJCXBcXrWMHS7Imc,0.332,224000,0.892,1BMCzEHJCXBcXrWMHS7Imc,0.957,9,0.114,-8.879,0,0.0429,194.064,4,https://api.spotify.com/v1/tracks/1BMCzEHJCXBcXrWMHS7Imc,audio_features,spotify:track:1BMCzEHJCXBcXrWMHS7Imc,0.115,Omni Island,Dreams West,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,14,14,0.879,https://api.spotify.com/v1/audio-analysis/1KDgPUGv3GqcVNA2GD1zmc,0.5579999999999999,179095,0.752,1KDgPUGv3GqcVNA2GD1zmc,0.8540000000000001,8,0.219,-9.323,1,0.0617,112.947,4,https://api.spotify.com/v1/tracks/1KDgPUGv3GqcVNA2GD1zmc,audio_features,spotify:track:1KDgPUGv3GqcVNA2GD1zmc,0.325,Lost Dreams,Infinity Frequencies,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,15,15,0.115,https://api.spotify.com/v1/audio-analysis/744D95MXJOmZq0q0EI01zF,0.588,92195,0.645,744D95MXJOmZq0q0EI01zF,0.973,7,0.191,-7.279,1,0.035,93.693,4,https://api.spotify.com/v1/tracks/744D95MXJOmZq0q0EI01zF,audio_features,spotify:track:744D95MXJOmZq0q0EI01zF,0.0698,Breeze,Infinity Frequencies,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,16,16,0.07400000000000001,https://api.spotify.com/v1/audio-analysis/0Jhu3ZQDdvOuh3RIzgIYUb,0.552,220291,0.67,0Jhu3ZQDdvOuh3RIzgIYUb,0.7929999999999999,1,0.0969,-11.925999999999998,1,0.16399999999999998,91.531,4,https://api.spotify.com/v1/tracks/0Jhu3ZQDdvOuh3RIzgIYUb,audio_features,spotify:track:0Jhu3ZQDdvOuh3RIzgIYUb,0.23,Everywhere,Navigateur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,17,17,2.89e-05,https://api.spotify.com/v1/audio-analysis/32yBUUjbauDSFCJY6xzfUR,0.381,314070,0.535,32yBUUjbauDSFCJY6xzfUR,0.338,9,0.526,-13.983,1,0.0686,72.358,4,https://api.spotify.com/v1/tracks/32yBUUjbauDSFCJY6xzfUR,audio_features,spotify:track:32yBUUjbauDSFCJY6xzfUR,0.208,NEO MIAMI,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,18,18,0.000118,https://api.spotify.com/v1/audio-analysis/2FDJTo05zVmswy9x1FjlAa,0.5710000000000001,228119,0.805,2FDJTo05zVmswy9x1FjlAa,0.816,10,0.0672,-6.4129999999999985,0,0.196,101.01,4,https://api.spotify.com/v1/tracks/2FDJTo05zVmswy9x1FjlAa,audio_features,spotify:track:2FDJTo05zVmswy9x1FjlAa,0.61,Private Caller,Skylar Spence,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,19,19,0.00172,https://api.spotify.com/v1/audio-analysis/5EeMcudBJvuhTK9iDClP7m,0.495,531069,0.617,5EeMcudBJvuhTK9iDClP7m,0.6559999999999999,11,0.4270000000000001,-15.701,1,0.0478,75.137,4,https://api.spotify.com/v1/tracks/5EeMcudBJvuhTK9iDClP7m,audio_features,spotify:track:5EeMcudBJvuhTK9iDClP7m,0.103,Color Ocean,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,20,20,0.00256,https://api.spotify.com/v1/audio-analysis/0jIyCKqHXbCKBXwEufPOZZ,0.484,277551,0.5870000000000001,0jIyCKqHXbCKBXwEufPOZZ,0.609,2,0.604,-15.751,1,0.0403,116.595,4,https://api.spotify.com/v1/tracks/0jIyCKqHXbCKBXwEufPOZZ,audio_features,spotify:track:0jIyCKqHXbCKBXwEufPOZZ,0.15,Seafoam Island,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,21,21,0.006490000000000001,https://api.spotify.com/v1/audio-analysis/2meJBFhorHxB1Sg2UXH2A9,0.478,349336,0.669,2meJBFhorHxB1Sg2UXH2A9,0.8809999999999999,2,0.08800000000000001,-7.778,1,0.0516,80.962,4,https://api.spotify.com/v1/tracks/2meJBFhorHxB1Sg2UXH2A9,audio_features,spotify:track:2meJBFhorHxB1Sg2UXH2A9,0.0928,CALM DOWN,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,22,22,0.00169,https://api.spotify.com/v1/audio-analysis/1dcmLRHP5J9CnXvmfIe3hE,0.529,267416,0.471,1dcmLRHP5J9CnXvmfIe3hE,0.477,6,0.0853,-13.427,0,0.0793,78.971,4,https://api.spotify.com/v1/tracks/1dcmLRHP5J9CnXvmfIe3hE,audio_features,spotify:track:1dcmLRHP5J9CnXvmfIe3hE,0.278,SPLASH,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,23,23,0.00399,https://api.spotify.com/v1/audio-analysis/4QDrXWbW4pIvXn4aRlPMlT,0.555,455027,0.6970000000000001,4QDrXWbW4pIvXn4aRlPMlT,0.105,7,0.28600000000000003,-11.241,0,0.0916,91.003,4,https://api.spotify.com/v1/tracks/4QDrXWbW4pIvXn4aRlPMlT,audio_features,spotify:track:4QDrXWbW4pIvXn4aRlPMlT,0.0666,YR HEART,Vektroid,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
