,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal
21,0.0687,https://api.spotify.com/v1/audio-analysis/1yplC5zrM528Ie26S85zGM,0.835,210960,0.593,1yplC5zrM528Ie26S85zGM,0.0,7,0.0994,7.43,1,0.467,79.081,4,https://api.spotify.com/v1/tracks/1yplC5zrM528Ie26S85zGM,audio_features,spotify:track:1yplC5zrM528Ie26S85zGM,0.805,Sangue de Free,Black Alien,0,0,0,1,0,0
22,0.0733,https://api.spotify.com/v1/audio-analysis/3H96KKHJ5v9yvBIuhpFaRq,0.731,217067,0.535,3H96KKHJ5v9yvBIuhpFaRq,0.0,1,0.345,9.588,0,0.155,85.135,4,https://api.spotify.com/v1/tracks/3H96KKHJ5v9yvBIuhpFaRq,audio_features,spotify:track:3H96KKHJ5v9yvBIuhpFaRq,0.823,Vida Longa,Rincon Sapiência,0,0,0,1,0,0
23,0.0944,https://api.spotify.com/v1/audio-analysis/1URLs1xoKl8RioSvbfZ6aL,0.797,240575,0.825,1URLs1xoKl8RioSvbfZ6aL,6.91e-06,10,0.38,4.704,1,0.157,124.939,4,https://api.spotify.com/v1/tracks/1URLs1xoKl8RioSvbfZ6aL,audio_features,spotify:track:1URLs1xoKl8RioSvbfZ6aL,0.21,A Milenar Arte De Meter O Louco,Projota,0,0,0,1,0,0
24,0.838,https://api.spotify.com/v1/audio-analysis/6waLZw9qNP36DtHFPeyTz6,0.803,244142,0.328,6waLZw9qNP36DtHFPeyTz6,0.0,0,0.572,13.111,1,0.202,133.956,4,https://api.spotify.com/v1/tracks/6waLZw9qNP36DtHFPeyTz6,audio_features,spotify:track:6waLZw9qNP36DtHFPeyTz6,0.288,Coração de Aço,Hungria Hip Hop,0,0,0,1,0,0
25,0.184,https://api.spotify.com/v1/audio-analysis/1a6t1ldgN2pzcH1QwKXdPw,0.683,262850,0.623,1a6t1ldgN2pzcH1QwKXdPw,0.0,1,0.0968,6.64,1,0.0823,81.05,4,https://api.spotify.com/v1/tracks/1a6t1ldgN2pzcH1QwKXdPw,audio_features,spotify:track:1a6t1ldgN2pzcH1QwKXdPw,0.71,Estragando Plantas,DJ Caique,0,0,0,1,0,0
26,0.229,https://api.spotify.com/v1/audio-analysis/1BuSbqff6EcL8gkdkjaB63,0.506,305845,0.872,1BuSbqff6EcL8gkdkjaB63,0.0,7,0.183,6.827,0,0.3,114.982,4,https://api.spotify.com/v1/tracks/1BuSbqff6EcL8gkdkjaB63,audio_features,spotify:track:1BuSbqff6EcL8gkdkjaB63,0.597,Duro Igual Concreto,1Kilo,0,0,0,1,0,0
27,0.605,https://api.spotify.com/v1/audio-analysis/5XaPPVhAeVh9f7KFQIkaD0,0.804,225877,0.544,5XaPPVhAeVh9f7KFQIkaD0,0.0,1,0.097,8.938,1,0.108,112.006,4,https://api.spotify.com/v1/tracks/5XaPPVhAeVh9f7KFQIkaD0,audio_features,spotify:track:5XaPPVhAeVh9f7KFQIkaD0,0.177,O Que Quiser Fazer,Luccas Carlos,0,0,0,1,0,0
28,0.176,https://api.spotify.com/v1/audio-analysis/5GUGs1hVGUh5SQvpcOLabN,0.631,220382,0.802,5GUGs1hVGUh5SQvpcOLabN,0.0,10,0.326,4.143,0,0.405,187.735,4,https://api.spotify.com/v1/tracks/5GUGs1hVGUh5SQvpcOLabN,audio_features,spotify:track:5GUGs1hVGUh5SQvpcOLabN,0.79,Oriente-Se,Oriente,0,0,0,1,0,0
29,0.252,https://api.spotify.com/v1/audio-analysis/6V933Ab1xEyw7iIDOO2ntl,0.667,285843,0.575,6V933Ab1xEyw7iIDOO2ntl,1.31e-06,1,0.0835,7.658,0,0.227,88.981,4,https://api.spotify.com/v1/tracks/6V933Ab1xEyw7iIDOO2ntl,audio_features,spotify:track:6V933Ab1xEyw7iIDOO2ntl,0.491,Gucci & Chanel,Cacife Clandestino,0,0,0,1,0,0
30,0.579,https://api.spotify.com/v1/audio-analysis/7wEXckxs5dVQ2b7P1QTXUb,0.884,224234,0.668,7wEXckxs5dVQ2b7P1QTXUb,0.0,2,0.0745,9.046,0,0.349,136.882,4,https://api.spotify.com/v1/tracks/7wEXckxs5dVQ2b7P1QTXUb,audio_features,spotify:track:7wEXckxs5dVQ2b7P1QTXUb,0.799,Grimme,Costa Gold,0,0,0,1,0,0
31,0.307,https://api.spotify.com/v1/audio-analysis/1sVL1mXJMnjaT4ZEPpBzrA,0.906,199384,0.399,1sVL1mXJMnjaT4ZEPpBzrA,0.000538,11,0.213,10.403,1,0.0573,130.032,4,https://api.spotify.com/v1/tracks/1sVL1mXJMnjaT4ZEPpBzrA,audio_features,spotify:track:1sVL1mXJMnjaT4ZEPpBzrA,0.523,Nem Foi Combinado (5º Último),Tribo da Periferia,0,0,0,1,0,0
32,0.841,https://api.spotify.com/v1/audio-analysis/2srL4DYBekshpbprS6H0mO,0.555,213192,0.439,2srL4DYBekshpbprS6H0mO,0.0,7,0.106,11.026,1,0.222,186.581,4,https://api.spotify.com/v1/tracks/2srL4DYBekshpbprS6H0mO,audio_features,spotify:track:2srL4DYBekshpbprS6H0mO,0.705,Deixe Me Ir - Acústico,1Kilo,0,0,0,1,0,0
33,0.288,https://api.spotify.com/v1/audio-analysis/1PISAqeZ9Jlm3lYgESmmEY,0.762,211928,0.612,1PISAqeZ9Jlm3lYgESmmEY,0.0,1,0.123,6.635,0,0.429,83.015,4,https://api.spotify.com/v1/tracks/1PISAqeZ9Jlm3lYgESmmEY,audio_features,spotify:track:1PISAqeZ9Jlm3lYgESmmEY,0.694,Rap É Isso Aí,RZO,0,0,0,1,0,0
34,0.211,https://api.spotify.com/v1/audio-analysis/1uVOvs9a0rDTll1fuDhO7h,0.606,244453,0.532,1uVOvs9a0rDTll1fuDhO7h,0.0,5,0.125,10.524,0,0.427,120.121,4,https://api.spotify.com/v1/tracks/1uVOvs9a0rDTll1fuDhO7h,audio_features,spotify:track:1uVOvs9a0rDTll1fuDhO7h,0.23,A Chapa é Quente! - Língua Franca,Emicida,0,0,0,1,0,0
35,0.258,https://api.spotify.com/v1/audio-analysis/5voCM4S07vfYxUxLcp1G3R,0.764,212875,0.72,5voCM4S07vfYxUxLcp1G3R,0.0,4,0.11,6.121,0,0.518,92.659,4,https://api.spotify.com/v1/tracks/5voCM4S07vfYxUxLcp1G3R,audio_features,spotify:track:5voCM4S07vfYxUxLcp1G3R,0.73,Só Pra Começar,ConeCrewDiretoria,0,0,0,1,0,0
36,0.114,https://api.spotify.com/v1/audio-analysis/7q7gR9Rnu49eu3HBvBGfCX,0.726,222152,0.476,7q7gR9Rnu49eu3HBvBGfCX,0.0,2,0.163,7.516,0,0.17,130.174,4,https://api.spotify.com/v1/tracks/7q7gR9Rnu49eu3HBvBGfCX,audio_features,spotify:track:7q7gR9Rnu49eu3HBvBGfCX,0.403,Mágico,Cacife Clandestino,0,0,0,1,0,0
37,0.235,https://api.spotify.com/v1/audio-analysis/6hSTWdRLej8in3olOckgPA,0.766,294638,0.79,6hSTWdRLej8in3olOckgPA,0.0,9,0.0958,5.411,0,0.315,125.009,4,https://api.spotify.com/v1/tracks/6hSTWdRLej8in3olOckgPA,audio_features,spotify:track:6hSTWdRLej8in3olOckgPA,0.379,Antes Do Meu Fim,Projota,0,0,0,1,0,0
38,0.222,https://api.spotify.com/v1/audio-analysis/7qqDBbl2CiqrsN0ZSxNKWb,0.69,260893,0.655,7qqDBbl2CiqrsN0ZSxNKWb,4.39e-06,8,0.116,7.22,1,0.251,150.028,4,https://api.spotify.com/v1/tracks/7qqDBbl2CiqrsN0ZSxNKWb,audio_features,spotify:track:7qqDBbl2CiqrsN0ZSxNKWb,0.752,Lição de Casa,Inquérito,0,0,0,1,0,0
39,0.155,https://api.spotify.com/v1/audio-analysis/1HQoGpPJ8ye2BEavUqdnF9,0.838,277371,0.574,1HQoGpPJ8ye2BEavUqdnF9,0.0,6,0.0881,5.285,0,0.44,89.898,4,https://api.spotify.com/v1/tracks/1HQoGpPJ8ye2BEavUqdnF9,audio_features,spotify:track:1HQoGpPJ8ye2BEavUqdnF9,0.611,Aquário,Cacife Clandestino,0,0,0,1,0,0
40,0.00643,https://api.spotify.com/v1/audio-analysis/5f05BJ7pVnjPkKgl3ScmB6,0.533,224253,0.735,5f05BJ7pVnjPkKgl3ScmB6,0.0,1,0.152,7.535,1,0.296,175.982,4,https://api.spotify.com/v1/tracks/5f05BJ7pVnjPkKgl3ScmB6,audio_features,spotify:track:5f05BJ7pVnjPkKgl3ScmB6,0.468,Resistência Cultural,Marcelo D2,0,0,0,1,0,0
41,0.435,https://api.spotify.com/v1/audio-analysis/5Euq2o0bRDgwHUSSU7ZqlM,0.762,178898,0.736,5Euq2o0bRDgwHUSSU7ZqlM,4.17e-05,4,0.107,5.757,0,0.125,109.979,4,https://api.spotify.com/v1/tracks/5Euq2o0bRDgwHUSSU7ZqlM,audio_features,spotify:track:5Euq2o0bRDgwHUSSU7ZqlM,0.18,Essa Eu Fiz pra Você,Oriente,0,0,0,1,0,0
