,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
10,0.442,https://api.spotify.com/v1/audio-analysis/473DDIc0akrm3ufTgoCqyy,0.454,239750,0.191,473DDIc0akrm3ufTgoCqyy,0.92,9,0.223,-26.497,0,0.326,175.001,3,https://api.spotify.com/v1/tracks/473DDIc0akrm3ufTgoCqyy,audio_features,spotify:track:473DDIc0akrm3ufTgoCqyy,0.557,"One Bourbon, One Scotch, One Beer (Live)",John Lee Hooker
11,0.00197,https://api.spotify.com/v1/audio-analysis/5ZiU4oxQ6RxiEBIQpVa0mU,0.715,397200,0.544,5ZiU4oxQ6RxiEBIQpVa0mU,0.0544,7,0.11,-8.768,1,0.0574,167.784,4,https://api.spotify.com/v1/tracks/5ZiU4oxQ6RxiEBIQpVa0mU,audio_features,spotify:track:5ZiU4oxQ6RxiEBIQpVa0mU,0.67,Rock Me Baby,B.B. King
0,0.436,https://api.spotify.com/v1/audio-analysis/776ESZrMd2rMNsbPOrckXG,0.699,167040,0.633,776ESZrMd2rMNsbPOrckXG,9.32e-05,11,0.0291,-6.249,1,0.0261,91.398,4,https://api.spotify.com/v1/tracks/776ESZrMd2rMNsbPOrckXG,audio_features,spotify:track:776ESZrMd2rMNsbPOrckXG,0.907,Born Under A Bad Sign,Albert King
1,0.44,https://api.spotify.com/v1/audio-analysis/58PSYdY0GFg0LFb2PxYk4T,0.598,321133,0.735,58PSYdY0GFg0LFb2PxYk4T,0.000215,2,0.681,-10.882,1,0.0973,111.129,3,https://api.spotify.com/v1/tracks/58PSYdY0GFg0LFb2PxYk4T,audio_features,spotify:track:58PSYdY0GFg0LFb2PxYk4T,0.615,Mannish Boy,Muddy Waters
2,0.799,https://api.spotify.com/v1/audio-analysis/4tvGhuwJYE0ALzBUNLmacQ,0.683,186827,0.502,4tvGhuwJYE0ALzBUNLmacQ,0.000116,9,0.138,-8.83,1,0.0401,146.138,4,https://api.spotify.com/v1/tracks/4tvGhuwJYE0ALzBUNLmacQ,audio_features,spotify:track:4tvGhuwJYE0ALzBUNLmacQ,0.5,Smokestack Lightnin',Howlin' Wolf
3,0.612,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw,0.442,152351,0.464,2Mr1bGI2E10K7Mt1UJZ6Mw,0.00189,10,0.137,-14.12,1,0.0515,158.531,4,https://api.spotify.com/v1/tracks/2Mr1bGI2E10K7Mt1UJZ6Mw,audio_features,spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,0.944,Boom Boom,John Lee Hooker
4,0.0719,https://api.spotify.com/v1/audio-analysis/0Rfp6IXlI6GBfrmr3kk8xY,0.529,169640,0.628,0Rfp6IXlI6GBfrmr3kk8xY,0.00325,3,0.232,-9.586,1,0.0347,105.214,4,https://api.spotify.com/v1/tracks/0Rfp6IXlI6GBfrmr3kk8xY,audio_features,spotify:track:0Rfp6IXlI6GBfrmr3kk8xY,0.67,Everyday (I Have The Blues),B.B. King
5,0.439,https://api.spotify.com/v1/audio-analysis/75vFOv4bnB9fETRTtUQBZF,0.429,141280,0.66,75vFOv4bnB9fETRTtUQBZF,4.51e-05,7,0.0612,-7.021,1,0.0505,99.846,4,https://api.spotify.com/v1/tracks/75vFOv4bnB9fETRTtUQBZF,audio_features,spotify:track:75vFOv4bnB9fETRTtUQBZF,0.692,First Time I Met The Blues - 1960 Single Version,Buddy Guy
6,0.656,https://api.spotify.com/v1/audio-analysis/1WE055A5d1019EAx79Rg8Q,0.567,182509,0.56,1WE055A5d1019EAx79Rg8Q,0.000102,11,0.127,-8.356,0,0.147,147.008,4,https://api.spotify.com/v1/tracks/1WE055A5d1019EAx79Rg8Q,audio_features,spotify:track:1WE055A5d1019EAx79Rg8Q,0.766,Mojo Hand,Lightnin' Hopkins
7,0.661,https://api.spotify.com/v1/audio-analysis/7keRsHHqmuFRv8agWvaYxE,0.539,156667,0.398,7keRsHHqmuFRv8agWvaYxE,0.000519,9,0.191,-6.513,1,0.0253,81.579,3,https://api.spotify.com/v1/tracks/7keRsHHqmuFRv8agWvaYxE,audio_features,spotify:track:7keRsHHqmuFRv8agWvaYxE,0.588,I'd Rather Go Blind,Etta James
8,0.0115,https://api.spotify.com/v1/audio-analysis/0fM0mFxHP1R4KPX1PB8tWU,0.507,175040,0.66,0fM0mFxHP1R4KPX1PB8tWU,0.336,2,0.322,-4.957,1,0.0306,100.783,4,https://api.spotify.com/v1/tracks/0fM0mFxHP1R4KPX1PB8tWU,audio_features,spotify:track:0fM0mFxHP1R4KPX1PB8tWU,0.696,Dust My Broom,Elmore James
