,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
0,,0.189,https://api.spotify.com/v1/audio-analysis/0pDaqgIForVNO4jrtTxcWT,MC Jhowzinho e MC Kadinho,0.814,228923,0,0.653,1,0pDaqgIForVNO4jrtTxcWT,0.0,3,0.0876,0.02,0,0,0,0,0,Agora Vai Sentar,0.0359,130.099,4,https://api.spotify.com/v1/tracks/0pDaqgIForVNO4jrtTxcWT,audio_features,spotify:track:0pDaqgIForVNO4jrtTxcWT,0.706
1,,0.0255,https://api.spotify.com/v1/audio-analysis/6zp6PbBzByRcPTQtXLQV9x,MC Kekel,0.553,153231,0,0.664,1,6zp6PbBzByRcPTQtXLQV9x,0.000101,8,0.125,0.355,0,1,0,0,0,Mandella É Meu Nome,0.0673,86.559,5,https://api.spotify.com/v1/tracks/6zp6PbBzByRcPTQtXLQV9x,audio_features,spotify:track:6zp6PbBzByRcPTQtXLQV9x,0.608
2,,0.318,https://api.spotify.com/v1/audio-analysis/3xMM1HrAAsejeHhBlagisp,Os Cretinos,0.876,122885,0,0.632,1,3xMM1HrAAsejeHhBlagisp,0.0,11,0.101,2.548,0,1,0,0,0,Combate,0.193,86.588,3,https://api.spotify.com/v1/tracks/3xMM1HrAAsejeHhBlagisp,audio_features,spotify:track:3xMM1HrAAsejeHhBlagisp,0.75
3,,0.812,https://api.spotify.com/v1/audio-analysis/7vgNGxchhqDQWjKjLPTPro,MC Gustta,0.685,215938,0,0.648,1,7vgNGxchhqDQWjKjLPTPro,0.0019,11,0.21,3.536,0,0,0,0,0,Abusadamente,0.149,122.599,4,https://api.spotify.com/v1/tracks/7vgNGxchhqDQWjKjLPTPro,audio_features,spotify:track:7vgNGxchhqDQWjKjLPTPro,0.389
4,,0.488,https://api.spotify.com/v1/audio-analysis/1kNVJQEkobOlyfbctPZ4fs,Mc Don Juan,0.675,217846,0,0.493,1,1kNVJQEkobOlyfbctPZ4fs,0.0,1,0.073,5.197,0,0,0,0,0,Amar Amei,0.0792,129.979,4,https://api.spotify.com/v1/tracks/1kNVJQEkobOlyfbctPZ4fs,audio_features,spotify:track:1kNVJQEkobOlyfbctPZ4fs,0.817
5,,0.112,https://api.spotify.com/v1/audio-analysis/6dHAqjd70J9sJUfutwAvpB,Mc Livinho,0.909,195744,0,0.571,1,6dHAqjd70J9sJUfutwAvpB,0.0,11,0.0409,4.541,0,1,0,0,0,Terapia,0.0874,129.839,4,https://api.spotify.com/v1/tracks/6dHAqjd70J9sJUfutwAvpB,audio_features,spotify:track:6dHAqjd70J9sJUfutwAvpB,0.664
6,,0.127,https://api.spotify.com/v1/audio-analysis/7CtFr21TzdM4ntuBkwzpxg,Jerry Smith,0.879,189048,0,0.626,1,7CtFr21TzdM4ntuBkwzpxg,0.0,7,0.0656,2.122,0,1,0,0,0,Troféu do Ano,0.143,160.047,4,https://api.spotify.com/v1/tracks/7CtFr21TzdM4ntuBkwzpxg,audio_features,spotify:track:7CtFr21TzdM4ntuBkwzpxg,0.848
7,,0.0452,https://api.spotify.com/v1/audio-analysis/7k77OCN4ozbrIDkrBSHLA6,Lucas Lucco,0.909,160551,0,0.833,1,7k77OCN4ozbrIDkrBSHLA6,2.07e-06,11,0.121,5.138,0,0,0,0,0,Se Organizar Todo Mundo Pega,0.0506,132.037,4,https://api.spotify.com/v1/tracks/7k77OCN4ozbrIDkrBSHLA6,audio_features,spotify:track:7k77OCN4ozbrIDkrBSHLA6,0.943
8,,0.223,https://api.spotify.com/v1/audio-analysis/26bMmC90QF0FOd1ctDnkeU,Munhoz & Mariano,0.811,167774,0,0.696,1,26bMmC90QF0FOd1ctDnkeU,0.0,11,0.196,5.209,0,0,0,0,0,Mulherão da Porra,0.0553,128.031,4,https://api.spotify.com/v1/tracks/26bMmC90QF0FOd1ctDnkeU,audio_features,spotify:track:26bMmC90QF0FOd1ctDnkeU,0.44
9,,0.483,https://api.spotify.com/v1/audio-analysis/4KXdwfri1NIQCImLQr3Wli,Mc Don Juan,0.674,169846,0,0.75,1,4KXdwfri1NIQCImLQr3Wli,0.0,8,0.161,0.111,0,1,0,0,0,Se Eu Tiver Solteiro,0.131,129.867,4,https://api.spotify.com/v1/tracks/4KXdwfri1NIQCImLQr3Wli,audio_features,spotify:track:4KXdwfri1NIQCImLQr3Wli,0.633
