,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
240,240,31,0.000376,https://api.spotify.com/v1/audio-analysis/43kMW9B7hWAes0XOYZT0nj,0.6779999999999999,217619,0.879,43kMW9B7hWAes0XOYZT0nj,0.81,11,0.0656,-7.782,0,0.0409,126.001,4,https://api.spotify.com/v1/tracks/43kMW9B7hWAes0XOYZT0nj,audio_features,spotify:track:43kMW9B7hWAes0XOYZT0nj,0.0371,I Can't Stop,Koen Groeneveld,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
241,241,32,0.000214,https://api.spotify.com/v1/audio-analysis/4RjUHPcmrZjswmdIUzqYzX,0.782,320000,0.974,4RjUHPcmrZjswmdIUzqYzX,0.8109999999999999,1,0.0235,-6.792000000000002,1,0.0489,123.0,4,https://api.spotify.com/v1/tracks/4RjUHPcmrZjswmdIUzqYzX,audio_features,spotify:track:4RjUHPcmrZjswmdIUzqYzX,0.736,Pressure,Junior Sanchez,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,242,33,0.000205,https://api.spotify.com/v1/audio-analysis/0kM2kOlIWvPqtwOYTFylSB,0.69,193548,0.989,0kM2kOlIWvPqtwOYTFylSB,0.907,7,0.904,-1.368,1,0.0573,124.007,4,https://api.spotify.com/v1/tracks/0kM2kOlIWvPqtwOYTFylSB,audio_features,spotify:track:0kM2kOlIWvPqtwOYTFylSB,0.349,Headrockers,Luca Debonaire,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,243,34,0.000471,https://api.spotify.com/v1/audio-analysis/6YKW4wcIDefjPzaB5XEpeS,0.669,197451,0.933,6YKW4wcIDefjPzaB5XEpeS,0.285,6,0.297,-6.045,1,0.0409,123.985,4,https://api.spotify.com/v1/tracks/6YKW4wcIDefjPzaB5XEpeS,audio_features,spotify:track:6YKW4wcIDefjPzaB5XEpeS,0.444,Closer - Radio Edit,As I Am,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
244,244,35,0.0313,https://api.spotify.com/v1/audio-analysis/7pKWM78pAsQ5QYHgYNHZxG,0.8190000000000001,241936,0.8859999999999999,7pKWM78pAsQ5QYHgYNHZxG,0.904,2,0.0764,-7.484,1,0.0474,123.985,4,https://api.spotify.com/v1/tracks/7pKWM78pAsQ5QYHgYNHZxG,audio_features,spotify:track:7pKWM78pAsQ5QYHgYNHZxG,0.398,Oh My God,Shiba San,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
245,245,36,8.79e-05,https://api.spotify.com/v1/audio-analysis/6uug1RgjNLd8nOKEXJ8n0R,0.6970000000000001,187478,0.828,6uug1RgjNLd8nOKEXJ8n0R,0.000194,1,0.0634,-9.078,1,0.0472,123.056,4,https://api.spotify.com/v1/tracks/6uug1RgjNLd8nOKEXJ8n0R,audio_features,spotify:track:6uug1RgjNLd8nOKEXJ8n0R,0.568,What Do You Want (feat. Meshell Ndegeocello) - Migs Salted Vocal,Miguel Migs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
246,246,37,0.000732,https://api.spotify.com/v1/audio-analysis/6QLdLIUrtHIzBuHxhuRTqR,0.634,374679,0.914,6QLdLIUrtHIzBuHxhuRTqR,0.802,10,0.384,-9.018,0,0.0535,122.987,4,https://api.spotify.com/v1/tracks/6QLdLIUrtHIzBuHxhuRTqR,audio_features,spotify:track:6QLdLIUrtHIzBuHxhuRTqR,0.457,Jus' Come - TR398,Mark Knight,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,247,38,0.00043,https://api.spotify.com/v1/audio-analysis/4xHjtZX1ZBqOiwvOYXBijE,0.809,178548,0.944,4xHjtZX1ZBqOiwvOYXBijE,0.877,5,0.0416,-6.339,0,0.193,124.014,4,https://api.spotify.com/v1/tracks/4xHjtZX1ZBqOiwvOYXBijE,audio_features,spotify:track:4xHjtZX1ZBqOiwvOYXBijE,0.18,The Scoop,Format:B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
248,248,39,0.00109,https://api.spotify.com/v1/audio-analysis/3hZFTUG0IhX7gvZl4toSFF,0.72,169920,0.922,3hZFTUG0IhX7gvZl4toSFF,0.333,2,0.262,-4.655,1,0.0773,124.981,4,https://api.spotify.com/v1/tracks/3hZFTUG0IhX7gvZl4toSFF,audio_features,spotify:track:3hZFTUG0IhX7gvZl4toSFF,0.337,Remãta - Cristian Marchi Radio Edit,Chicco Secci,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,249,40,0.000269,https://api.spotify.com/v1/audio-analysis/5SECKG9oddYWKnRt0tAyh6,0.628,206068,0.977,5SECKG9oddYWKnRt0tAyh6,0.953,1,0.0711,-5.863,0,0.0376,124.996,4,https://api.spotify.com/v1/tracks/5SECKG9oddYWKnRt0tAyh6,audio_features,spotify:track:5SECKG9oddYWKnRt0tAyh6,0.777,Revolt,Harry Romero,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
