,acousticness,danceability,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0.000721,0.539,0.43799999999999994,4,0.198,9.11,0,0.0361,105.303,4,0.5870000000000001
1,9.86e-05,0.47700000000000004,0.0022,2,0.11900000000000001,4.337,1,0.0833,150.001,4,0.218
2,0.0176,0.358,0.00252,7,0.0982,8.924,1,0.0677,158.77700000000002,4,0.578
3,0.0018399999999999998,0.593,0.0,2,0.128,6.325,0,0.0286,124.01299999999999,4,0.473
4,0.00011499999999999999,0.494,0.0,8,0.0904,7.041,1,0.0359,139.963,4,0.406
5,0.00020899999999999998,0.515,0.00047599999999999997,1,0.145,7.312,1,0.0417,121.988,4,0.409
6,0.0477,0.36700000000000005,0.00124,4,0.235,5.956,0,0.175,106.329,3,0.239
7,0.0017699999999999999,0.568,0.00040599999999999995,1,0.36,5.235,1,0.0494,133.064,4,0.693
8,0.00257,0.447,1.6800000000000002e-05,2,0.0744,4.994,0,0.0464,80.04,4,0.505
9,0.0379,0.562,4.84e-05,3,0.0663,5.564,0,0.122,136.162,4,0.65
10,0.00013700000000000002,0.46799999999999997,0.0,10,0.215,5.144,0,0.15,138.006,4,0.392
11,0.00502,0.601,0.15,0,0.121,3.78,1,0.0455,167.87900000000002,4,0.249
12,0.00057,0.264,0.111,7,0.28300000000000003,4.362,1,0.0795,85.508,4,0.7659999999999999
13,0.00746,0.489,0.0,0,0.146,4.448,1,0.0332,145.885,4,0.444
14,0.0013599999999999999,0.43700000000000006,0.0323,0,0.21600000000000003,9.359,1,0.0609,114.553,4,0.278
15,0.0557,0.534,2.16e-06,11,0.0992,5.4110000000000005,0,0.0389,141.915,4,0.397
16,2.8699999999999996e-05,0.46299999999999997,0.0,2,0.141,4.374,1,0.152,130.04399999999998,4,0.20199999999999999
17,0.00224,0.40700000000000003,0.0251,7,0.0556,8.369,0,0.0826,155.069,4,0.662
18,2.08e-05,0.278,0.0527,10,0.6709999999999999,4.151,0,0.193,152.635,4,0.187
19,0.000799,0.358,0.00503,11,0.22,7.843,0,0.0693,130.733,4,0.5329999999999999
20,3.18e-06,0.42200000000000004,0.44799999999999995,4,0.0711,4.506,0,0.0392,105.04,3,0.19
21,0.0102,0.474,0.10400000000000001,0,0.36200000000000004,5.909,1,0.272,97.691,4,0.433
22,0.00595,0.578,0.264,4,0.132,3.215,1,0.0447,123.976,4,0.517
23,0.00023999999999999998,0.643,0.00185,2,0.0348,5.138999999999999,1,0.0735,130.004,4,0.614
24,0.0008269999999999999,0.512,0.000144,0,0.237,5.912000000000001,1,0.0313,130.037,4,0.531
25,0.00689,0.439,0.0,1,0.298,4.405,1,0.0806,171.889,4,0.628
26,0.0026100000000000003,0.532,0.000519,11,0.228,4.698,0,0.071,85.99,4,0.8079999999999999
27,0.000136,0.457,3.12e-06,6,0.0896,5.1739999999999995,1,0.0339,154.03799999999998,4,0.7040000000000001
28,0.0035299999999999997,0.5589999999999999,0.000225,8,0.6609999999999999,2.779,1,0.0303,97.98200000000001,4,0.248
29,0.0009570000000000001,0.552,0.0,8,0.0681,2.7439999999999998,1,0.04,125.902,4,0.45
30,0.00227,0.534,1.04e-06,7,0.569,4.176,1,0.0482,96.01700000000001,4,0.606
31,0.0234,0.37799999999999995,0.00062,9,0.18,3.781,1,0.185,108.525,4,0.584
32,0.0133,0.639,0.0,1,0.11800000000000001,7.445,1,0.0275,119.98899999999999,4,0.37799999999999995
33,0.0113,0.371,2.7000000000000002e-05,9,0.43,5.5329999999999995,1,0.0784,109.675,4,0.508
