,Unnamed: 0,Unnamed: 0.1,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,rock,funk,eletronica,rap,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
12,12,12,0.000147,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,0.501,292880,0.889,57bgtoPSgt236HzfBOd8kj,0.0114,4,0.217,-5.175,1,0.0364,133.519,4,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,audio_features,spotify:track:57bgtoPSgt236HzfBOd8kj,0.257,Thunderstruck,AC/DC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,13,13,0.00111,https://api.spotify.com/v1/audio-analysis/7GonnnalI2s19OCQO1J7Tf,0.474,284027,0.977,7GonnnalI2s19OCQO1J7Tf,0.00298,7,0.201,-3.839,0,0.17600000000000002,89.494,4,https://api.spotify.com/v1/tracks/7GonnnalI2s19OCQO1J7Tf,audio_features,spotify:track:7GonnnalI2s19OCQO1J7Tf,0.236,Kickstart My Heart,Mötley Crüe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,14,14,0.0189,https://api.spotify.com/v1/audio-analysis/1s4Ie0cT6P73SRSfh3oyGW,0.42,291373,0.93,1s4Ie0cT6P73SRSfh3oyGW,0.00675,2,0.264,-5.582999999999998,0,0.0638,99.641,4,https://api.spotify.com/v1/tracks/1s4Ie0cT6P73SRSfh3oyGW,audio_features,spotify:track:1s4Ie0cT6P73SRSfh3oyGW,0.344,The Number Of The Beast - 1998 Remastered Version,Iron Maiden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,15,15,4.15e-05,https://api.spotify.com/v1/audio-analysis/3aJymuSkVjznisc20MND55,0.375,308787,0.937,3aJymuSkVjznisc20MND55,2.39e-05,0,0.262,-7.17,1,0.0859,157.12,4,https://api.spotify.com/v1/tracks/3aJymuSkVjznisc20MND55,audio_features,spotify:track:3aJymuSkVjznisc20MND55,0.388,Eagle Fly Free,Helloween,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,16,16,0.000779,https://api.spotify.com/v1/audio-analysis/3kubJ2b1Rad7NXZtnZAZmO,0.431,218867,0.947,3kubJ2b1Rad7NXZtnZAZmO,0.000253,9,0.35600000000000004,-6.011,1,0.0752,96.539,4,https://api.spotify.com/v1/tracks/3kubJ2b1Rad7NXZtnZAZmO,audio_features,spotify:track:3kubJ2b1Rad7NXZtnZAZmO,0.365,Electric Eye,Judas Priest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,17,17,0.361,https://api.spotify.com/v1/audio-analysis/2b9lp5A6CqSzwOrBfAFhof,0.453,296200,0.906,2b9lp5A6CqSzwOrBfAFhof,0.0005690000000000001,9,0.26,-4.001,1,0.115,137.575,4,https://api.spotify.com/v1/tracks/2b9lp5A6CqSzwOrBfAFhof,audio_features,spotify:track:2b9lp5A6CqSzwOrBfAFhof,0.473,Crazy Train - Remastered,Ozzy Osbourne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,18,18,0.000308,https://api.spotify.com/v1/audio-analysis/6AlUhxZG6lcSBJlFEG2Mgp,0.366,300173,0.963,6AlUhxZG6lcSBJlFEG2Mgp,0.000326,7,0.13,-11.591,1,0.0708,106.528,4,https://api.spotify.com/v1/tracks/6AlUhxZG6lcSBJlFEG2Mgp,audio_features,spotify:track:6AlUhxZG6lcSBJlFEG2Mgp,0.131,Caught In A Mosh,Anthrax,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,19,19,0.000155,https://api.spotify.com/v1/audio-analysis/7fcfNW0XxTWlwVlftzfDOR,0.43,315120,0.7040000000000001,7fcfNW0XxTWlwVlftzfDOR,0.00221,1,0.0933,-8.008,0,0.0804,118.242,4,https://api.spotify.com/v1/tracks/7fcfNW0XxTWlwVlftzfDOR,audio_features,spotify:track:7fcfNW0XxTWlwVlftzfDOR,0.703,Walk,Pantera,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,20,20,0.0175,https://api.spotify.com/v1/audio-analysis/1W1Fchq0voTFhKGWmn57uW,0.285,250947,0.866,1W1Fchq0voTFhKGWmn57uW,0.0575,4,0.541,-6.7620000000000005,0,0.0674,162.30700000000004,4,https://api.spotify.com/v1/tracks/1W1Fchq0voTFhKGWmn57uW,audio_features,spotify:track:1W1Fchq0voTFhKGWmn57uW,0.62,The Trooper,Iron Maiden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,21,21,9.47e-06,https://api.spotify.com/v1/audio-analysis/0OKOFtLqpUPbpg2Zgiwfto,0.225,364627,0.939,0OKOFtLqpUPbpg2Zgiwfto,0.762,4,0.384,-11.81,0,0.0596,113.533,4,https://api.spotify.com/v1/tracks/0OKOFtLqpUPbpg2Zgiwfto,audio_features,spotify:track:0OKOFtLqpUPbpg2Zgiwfto,0.225,Agent Orange,Sodom,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,22,22,7.609999999999999e-05,https://api.spotify.com/v1/audio-analysis/1AR2VBeuqLQJYgsF33Pbgv,0.469,206560,0.762,1AR2VBeuqLQJYgsF33Pbgv,0.118,5,0.101,-12.566,1,0.0384,90.853,4,https://api.spotify.com/v1/tracks/1AR2VBeuqLQJYgsF33Pbgv,audio_features,spotify:track:1AR2VBeuqLQJYgsF33Pbgv,0.7509999999999999,It's Electric,Diamond Head,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,23,23,0.0125,https://api.spotify.com/v1/audio-analysis/54yLLvpezvPO1lA3GspiZj,0.473,340640,0.7829999999999999,54yLLvpezvPO1lA3GspiZj,0.475,10,0.268,-10.671,0,0.0869,91.976,4,https://api.spotify.com/v1/tracks/54yLLvpezvPO1lA3GspiZj,audio_features,spotify:track:54yLLvpezvPO1lA3GspiZj,0.124,Holy Diver,Dio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,24,24,0.0762,https://api.spotify.com/v1/audio-analysis/00iV838pAEznn1qLoG8Rxy,0.319,317206,0.65,00iV838pAEznn1qLoG8Rxy,0.129,6,0.0962,-13.927,1,0.0375,149.886,4,https://api.spotify.com/v1/tracks/00iV838pAEznn1qLoG8Rxy,audio_features,spotify:track:00iV838pAEznn1qLoG8Rxy,0.383,Children of the Grave,Black Sabbath,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,25,25,0.00362,https://api.spotify.com/v1/audio-analysis/7LDTB4kVmrLCU5TqKjZnzm,0.531,284693,0.917,7LDTB4kVmrLCU5TqKjZnzm,0.00034700000000000003,0,0.239,-8.033,1,0.0554,101.829,4,https://api.spotify.com/v1/tracks/7LDTB4kVmrLCU5TqKjZnzm,audio_features,spotify:track:7LDTB4kVmrLCU5TqKjZnzm,0.393,Feed My Frankenstein,Alice Cooper,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,26,26,0.011,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,0.31,255493,0.7,08mG3Y1vljYA6bvDt4Wqkj,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,audio_features,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,0.763,Back In Black,AC/DC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,27,27,0.0638,https://api.spotify.com/v1/audio-analysis/1LDAh7QQnWvp3GJ9QDa1Pj,0.461,415400,0.95,1LDAh7QQnWvp3GJ9QDa1Pj,0.0149,9,0.211,-6.189,1,0.179,140.77,4,https://api.spotify.com/v1/tracks/1LDAh7QQnWvp3GJ9QDa1Pj,audio_features,spotify:track:1LDAh7QQnWvp3GJ9QDa1Pj,0.535,Seek & Destroy,Metallica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,28,0.000292,https://api.spotify.com/v1/audio-analysis/6SUudbR4vTazN9Jb7QWQn5,0.33,242453,0.841,6SUudbR4vTazN9Jb7QWQn5,0.000262,1,0.061,-5.303,1,0.0562,106.807,4,https://api.spotify.com/v1/tracks/6SUudbR4vTazN9Jb7QWQn5,audio_features,spotify:track:6SUudbR4vTazN9Jb7QWQn5,0.672,Princess of the Night,Saxon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,29,29,0.000275,https://api.spotify.com/v1/audio-analysis/6aYXSH9JZrD30Av2KlAOMY,0.459,359760,0.953,6aYXSH9JZrD30Av2KlAOMY,0.000305,4,0.141,-6.518,0,0.066,95.074,4,https://api.spotify.com/v1/tracks/6aYXSH9JZrD30Av2KlAOMY,audio_features,spotify:track:6aYXSH9JZrD30Av2KlAOMY,0.517,2 Minutes To Midnight - 1998 Remastered Version,Iron Maiden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,30,30,6.91e-06,https://api.spotify.com/v1/audio-analysis/5xXeIlEiWIA8xnPa8BkJyj,0.219,246760,0.897,5xXeIlEiWIA8xnPa8BkJyj,0.0765,0,0.0735,-8.492,1,0.0927,103.885,4,https://api.spotify.com/v1/tracks/5xXeIlEiWIA8xnPa8BkJyj,audio_features,spotify:track:5xXeIlEiWIA8xnPa8BkJyj,0.256,Over The Wall,Testament,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,31,31,0.0004440000000000001,https://api.spotify.com/v1/audio-analysis/07QREe91FdXnDtJ2cBAVUs,0.483,280307,0.871,07QREe91FdXnDtJ2cBAVUs,0.0004980000000000001,0,0.287,-8.033,1,0.041,90.98,4,https://api.spotify.com/v1/tracks/07QREe91FdXnDtJ2cBAVUs,audio_features,spotify:track:07QREe91FdXnDtJ2cBAVUs,0.58,I Want Out,Helloween,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,32,32,8.7e-05,https://api.spotify.com/v1/audio-analysis/3dY6SLslpYq09BKeZxzVCC,0.31,314160,0.998,3dY6SLslpYq09BKeZxzVCC,0.00973,9,0.417,-5.2360000000000015,0,0.132,118.933,4,https://api.spotify.com/v1/tracks/3dY6SLslpYq09BKeZxzVCC,audio_features,spotify:track:3dY6SLslpYq09BKeZxzVCC,0.0398,Beneath The Remains,Sepultura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,33,33,0.0716,https://api.spotify.com/v1/audio-analysis/0M7oqERflkrJVHD3IAZqxo,0.337,242640,0.8859999999999999,0M7oqERflkrJVHD3IAZqxo,0.00156,4,0.204,-8.607000000000001,1,0.098,177.713,4,https://api.spotify.com/v1/tracks/0M7oqERflkrJVHD3IAZqxo,audio_features,spotify:track:0M7oqERflkrJVHD3IAZqxo,0.648,Cities On Flame with Rock and Roll,Blue Öyster Cult,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,34,34,0.0136,https://api.spotify.com/v1/audio-analysis/0IXpUl1fn2QZcBavfuq0H4,0.61,210133,0.8240000000000001,0IXpUl1fn2QZcBavfuq0H4,1.75e-06,4,0.0606,-6.046,1,0.0534,134.99200000000002,4,https://api.spotify.com/v1/tracks/0IXpUl1fn2QZcBavfuq0H4,audio_features,spotify:track:0IXpUl1fn2QZcBavfuq0H4,0.8190000000000001,Living After Midnight,Judas Priest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,35,35,0.00325,https://api.spotify.com/v1/audio-analysis/21yymkg894UdI2PQ5D6ScH,0.483,247840,0.948,21yymkg894UdI2PQ5D6ScH,0.008190000000000001,0,0.117,-5.7810000000000015,1,0.0402,135.957,4,https://api.spotify.com/v1/tracks/21yymkg894UdI2PQ5D6ScH,audio_features,spotify:track:21yymkg894UdI2PQ5D6ScH,0.6970000000000001,Looks That Kill - International,Mötley Crüe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,36,36,0.00835,https://api.spotify.com/v1/audio-analysis/31dqpLUModJWNbxrXu6TWd,0.581,256293,0.7909999999999999,31dqpLUModJWNbxrXu6TWd,6.02e-05,6,0.142,-7.262,1,0.0324,123.887,3,https://api.spotify.com/v1/tracks/31dqpLUModJWNbxrXu6TWd,audio_features,spotify:track:31dqpLUModJWNbxrXu6TWd,0.619,Shot in the Dark,Ozzy Osbourne,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
