,0,Unnamed: 0,acousticness,analysis_url,artist,danceability,duration_ms,eletronica,energy,funk,id,instrumentalness,key,liveness,loudness,metal,mode,rap,rock,sertanejo,song_title,speechiness,tempo,time_signature,track_href,type,uri,valence
12,,12,0.00057,https://api.spotify.com/v1/audio-analysis/5heRJEokcKygT588ZXjYXn,Queens of the Stone Age,0.264,390579.0,0.0,0.882,0.0,5heRJEokcKygT588ZXjYXn,0.111,7.0,0.28300000000000003,-4.362,0.0,1.0,0.0,1.0,0.0,The Evil Has Landed,0.0795,85.508,4.0,https://api.spotify.com/v1/tracks/5heRJEokcKygT588ZXjYXn,audio_features,spotify:track:5heRJEokcKygT588ZXjYXn,0.7659999999999999
13,,13,0.00746,https://api.spotify.com/v1/audio-analysis/2DrFBNqxtpyvFlG3qMZiya,Liam Gallagher,0.489,251631.0,0.0,0.835,0.0,2DrFBNqxtpyvFlG3qMZiya,0.0,0.0,0.146,-4.448,0.0,1.0,0.0,1.0,0.0,For What It's Worth,0.0332,145.885,4.0,https://api.spotify.com/v1/tracks/2DrFBNqxtpyvFlG3qMZiya,audio_features,spotify:track:2DrFBNqxtpyvFlG3qMZiya,0.444
14,,14,0.0013599999999999999,https://api.spotify.com/v1/audio-analysis/0GZ8pk5BsSG2GmI06xj1y7,Scalene,0.43700000000000006,239720.0,0.0,0.87,0.0,0GZ8pk5BsSG2GmI06xj1y7,0.0323,0.0,0.21600000000000003,-9.359,0.0,1.0,0.0,1.0,0.0,distopia,0.0609,114.553,4.0,https://api.spotify.com/v1/tracks/0GZ8pk5BsSG2GmI06xj1y7,audio_features,spotify:track:0GZ8pk5BsSG2GmI06xj1y7,0.278
15,,15,0.0557,https://api.spotify.com/v1/audio-analysis/3tA2Khh4RpQThUoX22PQAG,Welshly Arms,0.534,230697.0,0.0,0.615,0.0,3tA2Khh4RpQThUoX22PQAG,2.16e-06,11.0,0.0992,-5.4110000000000005,0.0,0.0,0.0,1.0,0.0,Legendary,0.0389,141.915,4.0,https://api.spotify.com/v1/tracks/3tA2Khh4RpQThUoX22PQAG,audio_features,spotify:track:3tA2Khh4RpQThUoX22PQAG,0.397
16,,16,2.8699999999999996e-05,https://api.spotify.com/v1/audio-analysis/3J4Avf3ZJ6jkM2KX2ucS0B,Hills Have Eyes,0.46299999999999997,245204.0,0.0,0.956,0.0,3J4Avf3ZJ6jkM2KX2ucS0B,0.0,2.0,0.141,-4.374,0.0,1.0,0.0,1.0,0.0,Never Quit,0.152,130.04399999999998,4.0,https://api.spotify.com/v1/tracks/3J4Avf3ZJ6jkM2KX2ucS0B,audio_features,spotify:track:3J4Avf3ZJ6jkM2KX2ucS0B,0.20199999999999999
17,,17,0.00224,https://api.spotify.com/v1/audio-analysis/0Ba6CQOhO2GfPezc0mSsPF,Avenged Sevenfold,0.40700000000000003,340627.0,0.0,0.838,0.0,0Ba6CQOhO2GfPezc0mSsPF,0.0251,7.0,0.0556,-8.369,0.0,0.0,0.0,1.0,0.0,Angels,0.0826,155.069,4.0,https://api.spotify.com/v1/tracks/0Ba6CQOhO2GfPezc0mSsPF,audio_features,spotify:track:0Ba6CQOhO2GfPezc0mSsPF,0.662
18,,18,2.08e-05,https://api.spotify.com/v1/audio-analysis/25DfYJr3P66JuMDcOWtw8u,Slipknot,0.278,276093.0,0.0,0.975,0.0,25DfYJr3P66JuMDcOWtw8u,0.0527,10.0,0.6709999999999999,-4.151,0.0,0.0,0.0,1.0,0.0,Psychosocial - Live,0.193,152.635,4.0,https://api.spotify.com/v1/tracks/25DfYJr3P66JuMDcOWtw8u,audio_features,spotify:track:25DfYJr3P66JuMDcOWtw8u,0.187
19,,19,9.86e-05,https://api.spotify.com/v1/audio-analysis/76ro3Y5aWGQgMMmCblq7yH,Of Mice & Men,0.47700000000000004,193577.0,0.0,0.976,0.0,76ro3Y5aWGQgMMmCblq7yH,0.0022,2.0,0.11900000000000001,-4.337,0.0,1.0,0.0,1.0,0.0,Warzone,0.0833,150.001,4.0,https://api.spotify.com/v1/tracks/76ro3Y5aWGQgMMmCblq7yH,audio_features,spotify:track:76ro3Y5aWGQgMMmCblq7yH,0.218
20,,20,0.000799,https://api.spotify.com/v1/audio-analysis/5vFshmrfuOng89bVtW33J9,Foo Fighters,0.358,244573.0,0.0,0.5489999999999999,0.0,5vFshmrfuOng89bVtW33J9,0.00503,11.0,0.22,-7.843,0.0,0.0,0.0,1.0,0.0,The Sky Is A Neighborhood,0.0693,130.733,4.0,https://api.spotify.com/v1/tracks/5vFshmrfuOng89bVtW33J9,audio_features,spotify:track:5vFshmrfuOng89bVtW33J9,0.5329999999999999
21,,21,3.18e-06,https://api.spotify.com/v1/audio-analysis/1ODqwpODWefmhyPL8djaeq,Circa Survive,0.42200000000000004,250269.0,0.0,0.9,0.0,1ODqwpODWefmhyPL8djaeq,0.44799999999999995,4.0,0.0711,-4.506,0.0,0.0,0.0,1.0,0.0,Rites of Investiture,0.0392,105.04,3.0,https://api.spotify.com/v1/tracks/1ODqwpODWefmhyPL8djaeq,audio_features,spotify:track:1ODqwpODWefmhyPL8djaeq,0.19
22,,22,0.0102,https://api.spotify.com/v1/audio-analysis/7dBMQbBKG6n9HkVXkUKnhQ,Queens of the Stone Age,0.474,274282.0,0.0,0.843,0.0,7dBMQbBKG6n9HkVXkUKnhQ,0.10400000000000001,0.0,0.36200000000000004,-5.909,0.0,1.0,0.0,1.0,0.0,The Way You Used To Do,0.272,97.691,4.0,https://api.spotify.com/v1/tracks/7dBMQbBKG6n9HkVXkUKnhQ,audio_features,spotify:track:7dBMQbBKG6n9HkVXkUKnhQ,0.433
