,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist
25,0.501,https://api.spotify.com/v1/audio-analysis/0jFT8rusCXzDuTTcgIFlRV,0.5,247667,0.685,0jFT8rusCXzDuTTcgIFlRV,0.0,7,0.233,-10.372,1,0.0369,135.851,4,https://api.spotify.com/v1/tracks/0jFT8rusCXzDuTTcgIFlRV,audio_features,spotify:track:0jFT8rusCXzDuTTcgIFlRV,0.462,Brilho No Olhar,Almir Guineto
26,0.35,https://api.spotify.com/v1/audio-analysis/06GD7nWYk989WhV28XkjSq,0.488,200493,0.757,06GD7nWYk989WhV28XkjSq,0.0,6,0.21,-10.875,0,0.0869,87.267,4,https://api.spotify.com/v1/tracks/06GD7nWYk989WhV28XkjSq,audio_features,spotify:track:06GD7nWYk989WhV28XkjSq,0.743,Cacos,Almir Guineto
27,0.443,https://api.spotify.com/v1/audio-analysis/2GmS9H8hem57cZTvJCMBFU,0.502,257267,0.691,2GmS9H8hem57cZTvJCMBFU,0.0,10,0.102,-11.109,1,0.0772,92.759,4,https://api.spotify.com/v1/tracks/2GmS9H8hem57cZTvJCMBFU,audio_features,spotify:track:2GmS9H8hem57cZTvJCMBFU,0.524,Pés,Almir Guineto
28,0.393,https://api.spotify.com/v1/audio-analysis/6SIkgbwYx8oz3Eq86krGhp,0.619,219566,0.802,6SIkgbwYx8oz3Eq86krGhp,0.0,7,0.131,-9.055,0,0.214,144.86,4,https://api.spotify.com/v1/tracks/6SIkgbwYx8oz3Eq86krGhp,audio_features,spotify:track:6SIkgbwYx8oz3Eq86krGhp,0.765,Mini-Saia,Sensação
29,0.111,https://api.spotify.com/v1/audio-analysis/0MYxxhLNtGA5caezmSsS5k,0.457,184533,0.747,0MYxxhLNtGA5caezmSsS5k,0.0,8,0.259,-10.316,1,0.0919,81.889,4,https://api.spotify.com/v1/tracks/0MYxxhLNtGA5caezmSsS5k,audio_features,spotify:track:0MYxxhLNtGA5caezmSsS5k,0.824,Boca Molhada,Sensação
30,0.554,https://api.spotify.com/v1/audio-analysis/5dmFerN5EVzf4HlEQVi32x,0.223,301080,0.872,5dmFerN5EVzf4HlEQVi32x,0.0,11,0.904,-7.408,0,0.165,79.698,4,https://api.spotify.com/v1/tracks/5dmFerN5EVzf4HlEQVi32x,audio_features,spotify:track:5dmFerN5EVzf4HlEQVi32x,0.651,Pout Pourri: Velho Amor / Pra Gente Se Encontrar de Novo,Grupo Sensação
31,0.465,https://api.spotify.com/v1/audio-analysis/4C41Es5Gulg9vm4bPb0fpn,0.257,295987,0.881,4C41Es5Gulg9vm4bPb0fpn,0.0,0,0.399,-5.454,1,0.116,151.823,4,https://api.spotify.com/v1/tracks/4C41Es5Gulg9vm4bPb0fpn,audio_features,spotify:track:4C41Es5Gulg9vm4bPb0fpn,0.57,Pout Pourri: Pedaços / Sentimento Nú,Grupo Sensação
32,0.591,https://api.spotify.com/v1/audio-analysis/7cYCAXl6hQnTS16KVhlegJ,0.419,274987,0.888,7cYCAXl6hQnTS16KVhlegJ,0.0,0,0.97,-4.88,1,0.0644,80.006,4,https://api.spotify.com/v1/tracks/7cYCAXl6hQnTS16KVhlegJ,audio_features,spotify:track:7cYCAXl6hQnTS16KVhlegJ,0.591,Pout Pourri: Coração / Quando o Sol Nascer,Grupo Sensação
33,0.512,https://api.spotify.com/v1/audio-analysis/20p9uofv9KEzIi6qlVj6Gw,0.44,280027,0.941,20p9uofv9KEzIi6qlVj6Gw,0.0,2,0.886,-5.951,1,0.105,80.653,4,https://api.spotify.com/v1/tracks/20p9uofv9KEzIi6qlVj6Gw,audio_features,spotify:track:20p9uofv9KEzIi6qlVj6Gw,0.53,Pout Pourri: Paraíso / Preciso Desse Mel,Grupo Sensação
34,0.638,https://api.spotify.com/v1/audio-analysis/2V100h5YtlJNER3xib9gFB,0.593,228720,0.455,2V100h5YtlJNER3xib9gFB,2.74e-06,5,0.128,-8.738,1,0.0433,148.109,4,https://api.spotify.com/v1/tracks/2V100h5YtlJNER3xib9gFB,audio_features,spotify:track:2V100h5YtlJNER3xib9gFB,0.458,Sonho Meu,Dona Ivone Lara
