,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist,gym,focus,relax,party
36,0.99,https://api.spotify.com/v1/audio-analysis/3FuXJmeecQATZpGFQJNgxc,0.203,201273,0.176,3FuXJmeecQATZpGFQJNgxc,0.896,10,0.11,-17.688,1,0.0431,134.21,3,https://api.spotify.com/v1/tracks/3FuXJmeecQATZpGFQJNgxc,audio_features,spotify:track:3FuXJmeecQATZpGFQJNgxc,0.0553,Morning Dew,Pim Miles,0,0,1,0
37,0.436,https://api.spotify.com/v1/audio-analysis/0djoygyoZQgdHLrHuNrvfP,0.236,222069,0.22,0djoygyoZQgdHLrHuNrvfP,0.785,6,0.0998,-13.377,0,0.0293,142.299,3,https://api.spotify.com/v1/tracks/0djoygyoZQgdHLrHuNrvfP,audio_features,spotify:track:0djoygyoZQgdHLrHuNrvfP,0.0734,The Light,Estelle Blanca,0,0,1,0
38,0.974,https://api.spotify.com/v1/audio-analysis/3PQGFShoKzMowJlPgysF0Y,0.467,233684,0.112,3PQGFShoKzMowJlPgysF0Y,0.864,5,0.115,-24.115,1,0.0351,94.959,4,https://api.spotify.com/v1/tracks/3PQGFShoKzMowJlPgysF0Y,audio_features,spotify:track:3PQGFShoKzMowJlPgysF0Y,0.0606,Yes/No - Sanctuary Mix,Tao Lounge,0,0,1,0
39,0.987,https://api.spotify.com/v1/audio-analysis/1uO9ZJFzDuwQ2XzmHt5TmN,0.194,189000,0.0388,1uO9ZJFzDuwQ2XzmHt5TmN,0.761,2,0.104,-28.622,0,0.0421,83.457,1,https://api.spotify.com/v1/tracks/1uO9ZJFzDuwQ2XzmHt5TmN,audio_features,spotify:track:1uO9ZJFzDuwQ2XzmHt5TmN,0.0952,Incubations,Roland Mercier,0,0,1,0
40,0.993,https://api.spotify.com/v1/audio-analysis/0iRwhMd8Dk4D6HBVsU5Mei,0.252,204688,0.00316,0iRwhMd8Dk4D6HBVsU5Mei,0.896,0,0.078,-30.221,1,0.0525,71.717,1,https://api.spotify.com/v1/tracks/0iRwhMd8Dk4D6HBVsU5Mei,audio_features,spotify:track:0iRwhMd8Dk4D6HBVsU5Mei,0.0453,Best Friends,Izumi Tanaka,0,0,1,0
41,0.742,https://api.spotify.com/v1/audio-analysis/694MhJ6tecEk1yxe16ik06,0.322,506040,0.193,694MhJ6tecEk1yxe16ik06,0.799,4,0.183,-15.457,0,0.0361,122.002,4,https://api.spotify.com/v1/tracks/694MhJ6tecEk1yxe16ik06,audio_features,spotify:track:694MhJ6tecEk1yxe16ik06,0.0363,Being Nothing,Bachan Kaur,0,0,1,0
42,0.98,https://api.spotify.com/v1/audio-analysis/5DuALA01mvSWTNM9xi2Rqm,0.151,162776,0.0244,5DuALA01mvSWTNM9xi2Rqm,0.912,6,0.11,-32.248,0,0.04,65.585,4,https://api.spotify.com/v1/tracks/5DuALA01mvSWTNM9xi2Rqm,audio_features,spotify:track:5DuALA01mvSWTNM9xi2Rqm,0.0358,Kyoto,Kumbhaka,0,0,1,0
43,0.849,https://api.spotify.com/v1/audio-analysis/0SWs3zxMzT668oTsa0lrKh,0.082,189143,0.0997,0SWs3zxMzT668oTsa0lrKh,0.877,8,0.117,-26.024,0,0.0391,81.379,3,https://api.spotify.com/v1/tracks/0SWs3zxMzT668oTsa0lrKh,audio_features,spotify:track:0SWs3zxMzT668oTsa0lrKh,0.068,Chakra Vie,Phillipe Cloé,0,0,1,0
44,0.0899,https://api.spotify.com/v1/audio-analysis/4a4tLTa7m2ZZAJzOAiMkr3,0.0695,190333,0.301,4a4tLTa7m2ZZAJzOAiMkr3,0.0205,9,0.0753,-12.612,0,0.035,74.955,3,https://api.spotify.com/v1/tracks/4a4tLTa7m2ZZAJzOAiMkr3,audio_features,spotify:track:4a4tLTa7m2ZZAJzOAiMkr3,0.0382,United Separation,Il Gaucho,0,0,1,0
45,0.732,https://api.spotify.com/v1/audio-analysis/2ry3OtKs5wvoL38n3FrcVN,0.167,233000,0.185,2ry3OtKs5wvoL38n3FrcVN,0.584,8,0.107,-21.741,1,0.0436,127.735,3,https://api.spotify.com/v1/tracks/2ry3OtKs5wvoL38n3FrcVN,audio_features,spotify:track:2ry3OtKs5wvoL38n3FrcVN,0.039,Sleeping Traveller,Binary One,0,0,1,0
