,Unnamed: 0,Unnamed: 0.1,0,song_title,artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,rock,rap,eletronica,funk,sertanejo,metal,vaporwave,samba,classica,pop,mpb,punk,reggae,jazz,blues
314,314,34,,Concerto for 2 Pianos in C Major: II. Romanza. Lento,Ralph Vaughan Williams,0.851,https://api.spotify.com/v1/audio-analysis/2WTnavRNa9TwbN8EGVAfKf,0.0698,542760.0,0.00405,2WTnavRNa9TwbN8EGVAfKf,0.418,3.0,0.153,-38.919,0.0,0.0383,74.584,4.0,https://api.spotify.com/v1/tracks/2WTnavRNa9TwbN8EGVAfKf,audio_features,spotify:track:2WTnavRNa9TwbN8EGVAfKf,0.0356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
315,315,35,,Four on the Floor,Judd Greenstein,0.923,https://api.spotify.com/v1/audio-analysis/3UalUK02dcL00HzaFfbeBx,0.386,644920.0,0.325,3UalUK02dcL00HzaFfbeBx,0.904,7.0,0.105,-14.183,0.0,0.0427,155.594,4.0,https://api.spotify.com/v1/tracks/3UalUK02dcL00HzaFfbeBx,audio_features,spotify:track:3UalUK02dcL00HzaFfbeBx,0.224,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
316,316,36,,Ascendente Jesu in naviculam,Giaches de Wert,0.992,https://api.spotify.com/v1/audio-analysis/1TmwEY6Vv7SRkn4wFA9j6L,0.13699999999999998,303520.0,0.078,1TmwEY6Vv7SRkn4wFA9j6L,0.0039,8.0,0.0864,-26.417,1.0,0.0407,99.966,5.0,https://api.spotify.com/v1/tracks/1TmwEY6Vv7SRkn4wFA9j6L,audio_features,spotify:track:1TmwEY6Vv7SRkn4wFA9j6L,0.0441,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
317,317,37,,"String Quartet No. 2, Sz. 67: II. Allegro molto capriccioso",Béla Bartók,0.945,https://api.spotify.com/v1/audio-analysis/5Gyd42kIry0E8izR81Tr06,0.396,483240.0,0.126,5Gyd42kIry0E8izR81Tr06,0.46,2.0,0.158,-23.011,1.0,0.0465,97.813,4.0,https://api.spotify.com/v1/tracks/5Gyd42kIry0E8izR81Tr06,audio_features,spotify:track:5Gyd42kIry0E8izR81Tr06,0.11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
318,318,38,,"Chichester Psalms: II. Psalm 23 - Psalm 2,1-4",Leonard Bernstein,0.921,https://api.spotify.com/v1/audio-analysis/5tZRpSED7xwhNGex1NLKx0,0.225,307373.0,0.0392,5tZRpSED7xwhNGex1NLKx0,0.2,9.0,0.127,-32.236999999999995,1.0,0.0413,86.238,4.0,https://api.spotify.com/v1/tracks/5tZRpSED7xwhNGex1NLKx0,audio_features,spotify:track:5tZRpSED7xwhNGex1NLKx0,0.0705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
319,319,39,,"Symphony No. 4 in E Minor, Op. 98: III. Allegro giocoso",Johannes Brahms,0.72,https://api.spotify.com/v1/audio-analysis/1Ur1RuetpzCayLtZJftIjU,0.333,399040.0,0.125,1Ur1RuetpzCayLtZJftIjU,0.456,0.0,0.0902,-19.339,1.0,0.0337,113.221,4.0,https://api.spotify.com/v1/tracks/1Ur1RuetpzCayLtZJftIjU,audio_features,spotify:track:1Ur1RuetpzCayLtZJftIjU,0.203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
320,320,40,,"Daphnis et Chloé, M. 57, Acte I, Deuxième partie: Danse suppliante de Chloé - Live",Maurice Ravel,0.923,https://api.spotify.com/v1/audio-analysis/2UcBiS5Mmy000oa6d0CtU2,0.188,217507.0,0.0128,2UcBiS5Mmy000oa6d0CtU2,0.355,10.0,0.53,-24.619,0.0,0.0376,72.64399999999998,4.0,https://api.spotify.com/v1/tracks/2UcBiS5Mmy000oa6d0CtU2,audio_features,spotify:track:2UcBiS5Mmy000oa6d0CtU2,0.0396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
321,321,41,,"Schumann: Theme and Variations in E-Flat Major, WoO 24, ""Geistervariationen"": I. Thema - Leise, innig",Robert Schumann,0.995,https://api.spotify.com/v1/audio-analysis/22saDmEaFYv0sZsVkZMRNg,0.4920000000000001,122653.0,0.00107,22saDmEaFYv0sZsVkZMRNg,0.939,3.0,0.0871,-38.861,1.0,0.0587,131.454,3.0,https://api.spotify.com/v1/tracks/22saDmEaFYv0sZsVkZMRNg,audio_features,spotify:track:22saDmEaFYv0sZsVkZMRNg,0.301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
322,322,42,,"Ich habe genug, BWV 82: I. Aria. Ich habe genug",Johann Sebastian Bach,0.97,https://api.spotify.com/v1/audio-analysis/5TqkBYfDucYaU7vwIm4RUL,0.18,435787.0,0.0951,5TqkBYfDucYaU7vwIm4RUL,0.911,11.0,0.11,-24.228,0.0,0.048,75.667,5.0,https://api.spotify.com/v1/tracks/5TqkBYfDucYaU7vwIm4RUL,audio_features,spotify:track:5TqkBYfDucYaU7vwIm4RUL,0.0527,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
323,323,43,,"Gaspard de la nuit, M. 55: II. Le gibet",Maurice Ravel,0.996,https://api.spotify.com/v1/audio-analysis/1t46GkU2H4x6zG41DRdKd7,0.4270000000000001,306067.0,0.0067,1t46GkU2H4x6zG41DRdKd7,0.931,3.0,0.0748,-34.741,1.0,0.0587,83.57600000000002,4.0,https://api.spotify.com/v1/tracks/1t46GkU2H4x6zG41DRdKd7,audio_features,spotify:track:1t46GkU2H4x6zG41DRdKd7,0.0397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
324,324,44,,Symphony No. 1: III. Andante con malinconia,William Walton,0.958,https://api.spotify.com/v1/audio-analysis/3G2Rv3PBHmTbop6bTUYc8L,0.0903,642827.0,0.083,3G2Rv3PBHmTbop6bTUYc8L,0.863,11.0,0.0883,-21.241,0.0,0.0387,85.443,4.0,https://api.spotify.com/v1/tracks/3G2Rv3PBHmTbop6bTUYc8L,audio_features,spotify:track:3G2Rv3PBHmTbop6bTUYc8L,0.032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
325,325,45,,Violin Concerto: II. Chaconne (Body Through Which the Dream Flows),John Adams,0.21,https://api.spotify.com/v1/audio-analysis/07nKrcJZEHB3zt4caZtDmv,0.087,576920.0,0.0507,07nKrcJZEHB3zt4caZtDmv,0.419,2.0,0.106,-30.065,1.0,0.0432,84.323,4.0,https://api.spotify.com/v1/tracks/07nKrcJZEHB3zt4caZtDmv,audio_features,spotify:track:07nKrcJZEHB3zt4caZtDmv,0.0393,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
